City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Hobart,AU,83.01,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
7,Manggar,ID,85.75,broken clouds,-2.8833,108.2667,Guest Hotel
12,Bambous Virieux,MU,82.22,few clouds,-20.3428,57.7575,Casa Tia Villa
17,Rikitea,PF,76.44,light rain,-23.1203,-134.9692,People ThankYou
19,Port Blair,IN,83.79,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
28,Airai,TL,76.44,broken clouds,-8.9266,125.4092,Juvinal Martin
29,Faanui,PF,80.87,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
35,Atuona,PF,79.0,clear sky,-9.8,-139.0333,Villa Enata
37,Alyangula,AU,88.72,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
38,Pimenteiras,BR,77.58,broken clouds,-6.2453,-41.4192,Hotel rotativo pimentas
39,Souillac,MU,82.36,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
40,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
42,Mount Gambier,AU,86.22,broken clouds,-37.8333,140.7667,The Commodore
44,Aquiraz,BR,84.22,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
46,Skeldon,GY,75.72,broken clouds,5.8833,-57.1333,Classic International Hotel & Suites
48,Victoria,HK,76.17,clear sky,22.2855,114.1577,Mini Hotel Central
51,Carutapera,BR,77.22,scattered clouds,-1.195,-46.02,Lidera
54,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
67,Marialva,BR,75.83,broken clouds,-23.485,-51.7917,Hotel Vinhedo
77,Kalmunai,LK,80.74,overcast clouds,7.4167,81.8167,VS Villa
80,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
84,New Norfolk,AU,82.65,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
85,Mahebourg,MU,82.26,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
88,Bolitoc,PH,86.22,broken clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
89,Galesong,ID,87.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
90,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
98,Manadhoo,MV,81.59,moderate rain,5.7667,73.3833,Reason Inn
101,Charters Towers,AU,85.39,light rain,-20.1,146.2667,Cattleman's Rest Motor Inn
103,Lorengau,PG,85.21,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
104,Hithadhoo,MV,81.73,broken clouds,-0.6,73.0833,Scoop Guest House
105,Butaritari,KI,81.07,light rain,3.0707,172.7902,Isles Sunset Lodge
108,San Policarpo,PH,84.38,overcast clouds,12.1791,125.5072,Agapita M. Nicart
109,Geraldton,AU,76.12,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
111,Vao,NC,76.91,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
119,Flinders,AU,77.05,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
125,Sharjah,AE,75.18,few clouds,25.3573,55.4033,Swiss Belhotel Sharjah
138,Grand Gaube,MU,82.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
143,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
146,Axim,GH,78.85,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
147,Mackay,AU,86.68,few clouds,-21.15,149.2,International Lodge Motel
152,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
161,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
163,Nicoya,CR,76.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
175,Cockburn Town,TC,79.34,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
180,Omboue,GA,76.66,moderate rain,-1.5746,9.2618,Hotel Olako
187,Loandjili,CG,75.31,thunderstorm,-4.7561,11.8578,Résidence ARCHANGE
188,Bandarbeyla,SO,75.81,clear sky,9.4942,50.8122,JABIR HOTEL
190,Acajutla,SV,78.06,clear sky,13.5928,-89.8275,asi es
197,Saint-Philippe,RE,77.49,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
200,Gizo,SB,85.33,light rain,-8.103,156.8419,Imagination Island
202,Champerico,GT,80.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
208,Cartagena,CO,82.02,clear sky,10.3997,-75.5144,Hotel Colombia Real - Cartagena
213,Cururupu,BR,76.05,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
215,Carupano,VE,77.2,overcast clouds,10.6678,-63.2585,Hotel La dorada
218,Kawalu,ID,84.94,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
225,Mexico,PH,87.87,overcast clouds,15.0646,120.7198,stone place
227,Kavaratti,IN,81.41,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
228,Pak Thong Chai,TH,77.25,overcast clouds,14.7226,102.0251,Mulberry House Korat
231,Saint-Pierre,RE,79.57,clear sky,-21.3393,55.4781,Lindsey Hôtel
237,Mandera,KE,75.72,few clouds,3.9366,41.867,Mwalimu Guest mandera
260,Santa Isabel Do Rio Negro,BR,76.08,overcast clouds,-0.4139,-65.0192,Hotel GSA
261,Keelung,TW,76.89,broken clouds,25.1283,121.7419,East Coast Star Boutique Hotel
262,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
266,Padang,ID,84.25,moderate rain,-0.9492,100.3543,Mercure Padang
269,Puerto Gaitan,CO,78.22,overcast clouds,4.3133,-72.0816,Brisas del Yucao
270,Kendari,ID,86.97,overcast clouds,-3.945,122.4989,Hotel Wixel
279,Mogadishu,SO,78.49,few clouds,2.0371,45.3438,Hotel Juba
281,Ahuimanu,US,80.31,clear sky,21.4447,-157.8378,Paradise Bay Resort
283,Itarema,BR,80.6,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
285,Sinnamary,GF,77.31,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
286,Port Lincoln,AU,81.36,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
291,Bundaberg,AU,83.21,broken clouds,-24.85,152.35,Takalvan Motel
292,Gat,IL,78.78,scattered clouds,31.61,34.7642,OlusHome
294,Dingle,PH,86.13,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
295,Kavieng,PG,85.5,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
296,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Cititel Penang
298,Trat,TH,80.98,light rain,12.5,102.5,สวนหนิง-อัศ
306,Biak,ID,80.38,overcast clouds,-0.9131,122.8766,Penginapan Kim
308,Daru,PG,85.15,overcast clouds,-9.0763,143.2092,Daru Lodge
319,Celestun,MX,75.0,few clouds,20.8667,-90.4,Posada Lilia
323,Bengkulu,ID,77.7,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
326,Pyinmana,MM,76.33,overcast clouds,19.7333,96.2167,Anh Mai Daung
333,Monrovia,LR,79.0,light rain,6.3005,-10.7969,Sunset Inn
337,Jaicos,BR,77.88,broken clouds,-7.3592,-41.1378,Hotel Jaicós
339,Cape Coast,GH,79.7,light rain,5.1053,-1.2466,Samrit Hotel
341,Akividu,IN,78.98,overcast clouds,16.6,81.3833,Santhi Inn
352,Kudahuvadhoo,MV,82.44,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
353,Namatanai,PG,85.19,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
356,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
360,Labuhan,ID,85.1,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
364,Wajir,KE,75.31,light rain,1.7471,40.0573,Al-bustan Hotel And Restaurant.
365,Samarai,PG,85.3,clear sky,-10.6167,150.6667,Nuli Sapi
368,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
369,Harper,LR,78.49,broken clouds,4.375,-7.7169,Screensaver
373,Jambi,ID,86.67,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
381,Madang,PG,85.37,light rain,-5.2246,145.7966,Comfort Inn Hotel
383,Pekan,MY,86.11,scattered clouds,3.4836,103.3996,Pekan Budget Hotel
392,Sorong,ID,84.74,moderate rain,-0.8833,131.25,Waigo Splash Hotel
401,Saint-Joseph,RE,78.48,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
403,Broken Hill,AU,85.71,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
412,Fare,PF,79.66,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
414,Codrington,AU,79.11,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
415,Tanga,TZ,75.7,broken clouds,-5.0667,39.1,Lulu Image Hotel
419,Bubaque,GW,82.62,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
426,Qui Nhon,VN,76.23,moderate rain,13.7667,109.2333,Hoang Yen Canary Hotel
432,Basco,PH,76.69,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
437,Bacolod,PH,85.77,broken clouds,10.6667,122.95,Planta Hotel & Residences
442,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
450,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Poutur Pousada
451,Kapit,MY,88.05,scattered clouds,2.0167,112.9333,Hotel Meligai Kapit
453,Port Hueneme,US,75.61,fog,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
457,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
460,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
463,Waingapu,ID,83.79,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
467,Chaah,MY,86.72,overcast clouds,2.249,103.048,Chaah Homestay
470,Sola,VU,79.47,thunderstorm,-13.8833,167.55,Leumerus Bungalows
473,Meulaboh,ID,77.7,light rain,4.1363,96.1285,Kost Pria
475,Papara,BR,81.72,scattered clouds,-3.9839,-38.7273,Romin mentes de mais
478,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
481,Lazaro Cardenas,MX,76.15,clear sky,17.9583,-102.2,quinta antigua
491,Miri,MY,86.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
497,Dwarka,IN,76.44,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
499,Pochutla,MX,78.62,clear sky,15.7432,-96.4661,Hotel Posada San Jose
500,Kokopo,PG,86.2,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
501,Aswan,EG,75.02,scattered clouds,24.0934,32.907,Nuba Nile
503,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
505,Cabo San Lucas,MX,78.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
507,Sri Aman,MY,86.05,few clouds,1.2376,111.4621,Seri Simanggang Hotel
508,Ormara,PK,75.02,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
515,Manokwari,ID,82.98,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
