City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Tezu,IN,27.9167,96.1667,74.21,34,45,1.48,scattered clouds
1,Kamaishi,JP,39.2667,141.8833,50.95,51,35,9.69,scattered clouds
2,Mataura,NZ,-46.1927,168.8643,62.47,45,93,6.98,overcast clouds
3,Hobart,AU,-42.8794,147.3294,83.01,35,20,3.0,few clouds
4,Kulachi,PK,31.9286,70.4592,64.15,24,99,5.82,overcast clouds
5,Mwanza,TZ,-2.5167,32.9,69.89,79,98,6.26,light rain
6,Hami,CN,42.8,93.45,26.49,52,23,2.44,few clouds
7,Manggar,ID,-2.8833,108.2667,85.75,63,79,0.54,broken clouds
8,Punta Arenas,CL,-53.15,-70.9167,46.51,76,40,10.36,scattered clouds
9,Katherine,AU,-14.4667,132.2667,100.72,19,40,13.8,scattered clouds
10,Upata,VE,8.0086,-62.3989,74.19,95,93,4.29,overcast clouds
11,Atherton,GB,53.5237,-2.4935,51.15,97,100,15.73,light rain
12,Bambous Virieux,MU,-20.3428,57.7575,82.22,68,11,8.81,few clouds
13,Uong Bi,VN,21.0333,106.7833,73.38,47,30,9.75,scattered clouds
14,Port Alfred,ZA,-33.5906,26.891,66.29,90,100,11.92,light rain
15,Dikson,RU,73.5069,80.5464,-12.96,96,100,13.62,light snow
16,Busselton,AU,-33.65,115.3333,65.05,44,69,8.81,broken clouds
17,Rikitea,PF,-23.1203,-134.9692,76.44,78,6,21.05,light rain
18,Hasaki,JP,35.7333,140.8333,61.29,62,94,20.6,overcast clouds
19,Port Blair,IN,11.6667,92.75,83.79,71,60,12.12,broken clouds
20,Shimoda,JP,34.6667,138.95,64.76,58,75,12.21,broken clouds
21,Thompson,CA,55.7435,-97.8558,21.36,79,90,16.11,overcast clouds
22,Bilibino,RU,68.0546,166.4372,-11.88,99,83,4.36,broken clouds
23,Saskylakh,RU,71.9167,114.0833,-28.34,100,89,4.56,overcast clouds
24,Qaanaaq,GL,77.484,-69.3632,10.38,61,100,3.53,overcast clouds
25,Albany,US,42.6001,-73.9662,27.27,79,4,5.86,clear sky
26,Ushuaia,AR,-54.8,-68.3,42.46,70,75,25.32,light intensity drizzle
27,Gawler,AU,-34.6,138.7333,93.83,22,33,9.08,scattered clouds
28,Airai,TL,-8.9266,125.4092,76.44,50,52,2.13,broken clouds
29,Faanui,PF,-16.4833,-151.75,80.87,76,100,15.7,light rain
30,Castro,BR,-24.7911,-50.0119,62.24,89,64,3.38,broken clouds
31,Patan,NP,27.6667,85.3333,52.18,87,20,0.0,mist
32,Barrow,US,71.2906,-156.7887,-18.38,69,1,8.05,clear sky
33,Severo-Kurilsk,RU,50.6789,156.125,31.8,64,96,27.85,overcast clouds
34,Avarua,CK,-21.2078,-159.775,78.85,61,20,11.5,few clouds
35,Atuona,PF,-9.8,-139.0333,79.0,76,3,22.08,clear sky
36,Cap-Chat,CA,49.1001,-66.6821,26.6,86,100,6.91,overcast clouds
37,Alyangula,AU,-13.8483,136.4192,88.72,58,29,3.71,scattered clouds
38,Pimenteiras,BR,-6.2453,-41.4192,77.58,53,65,1.63,broken clouds
39,Souillac,MU,-20.5167,57.5167,82.36,66,0,7.85,clear sky
40,Vaini,TO,-21.2,-175.2,84.36,89,20,10.36,few clouds
41,Oussouye,SN,12.485,-16.5469,71.78,33,100,7.25,overcast clouds
42,Mount Gambier,AU,-37.8333,140.7667,86.22,20,80,7.0,broken clouds
43,Port Macquarie,AU,-31.4333,152.9167,70.9,73,100,10.0,moderate rain
44,Aquiraz,BR,-3.9014,-38.3911,84.22,70,47,11.27,scattered clouds
45,Baiyin,CN,36.5583,104.2081,29.28,37,0,2.04,clear sky
46,Skeldon,GY,5.8833,-57.1333,75.72,91,58,3.85,broken clouds
47,Ribeira Grande,PT,38.5167,-28.7,61.65,65,10,10.0,clear sky
48,Victoria,HK,22.2855,114.1577,76.17,57,0,3.0,clear sky
49,Tuktoyaktuk,CA,69.4541,-133.0374,-18.78,99,97,10.65,overcast clouds
50,Sao Filipe,CV,14.8961,-24.4956,74.73,70,100,13.11,overcast clouds
51,Carutapera,BR,-1.195,-46.02,77.22,90,47,6.15,scattered clouds
52,Hilo,US,19.7297,-155.09,74.12,79,7,2.46,clear sky
53,Haines Junction,CA,60.7522,-137.5108,-2.11,100,100,0.56,overcast clouds
54,Kapaa,US,22.0752,-159.319,80.58,79,75,5.01,light rain
55,Bluff,NZ,-46.6,168.3333,62.8,75,93,8.66,overcast clouds
56,Mehamn,NO,71.0357,27.8492,16.88,87,57,17.52,broken clouds
57,Jamestown,US,42.097,-79.2353,33.39,93,90,6.91,overcast clouds
58,Vardo,NO,70.3705,31.1107,22.86,82,98,25.68,overcast clouds
59,Vero Beach,US,27.6386,-80.3973,64.98,79,1,0.0,clear sky
60,Chokurdakh,RU,70.6333,147.9167,-13.74,99,100,4.03,overcast clouds
61,Yulara,AU,-25.2406,130.9889,94.84,10,0,13.8,clear sky
62,Nome,US,64.5011,-165.4064,-7.53,54,1,8.05,clear sky
63,Iquique,CL,-20.2208,-70.1431,66.24,72,6,0.85,clear sky
64,Avera,US,33.194,-82.5271,42.67,42,27,5.84,scattered clouds
65,Ponta Do Sol,PT,32.6667,-17.1,62.71,68,57,3.38,broken clouds
66,East London,ZA,-33.0153,27.9116,66.2,92,100,7.38,light rain
67,Marialva,BR,-23.485,-51.7917,75.83,90,56,2.59,broken clouds
68,Cochrane,CA,51.1834,-114.4687,39.06,38,75,18.41,broken clouds
69,Klaksvik,FO,62.2266,-6.589,34.72,58,100,6.2,overcast clouds
70,Vredendal,ZA,-31.6683,18.5012,59.5,89,75,4.0,broken clouds
71,Sakakah,SA,29.9697,40.2064,59.16,39,20,2.04,few clouds
72,Cape Town,ZA,-33.9258,18.4232,63.09,86,90,5.75,light rain
73,Jyvaskyla,FI,62.2415,25.7209,20.35,86,90,10.36,light snow
74,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,67,7.0,broken clouds
75,Guerrero Negro,MX,27.9769,-114.0611,64.98,73,0,9.53,clear sky
76,Khargapur,IN,24.823,79.144,65.05,48,100,1.25,overcast clouds
77,Kalmunai,LK,7.4167,81.8167,80.74,77,97,4.61,overcast clouds
78,Nanfeng,CN,23.7434,111.7959,66.65,47,13,7.7,few clouds
79,Dalvik,IS,65.9702,-18.5286,22.93,89,100,3.74,light snow
80,Salalah,OM,17.0151,54.0924,77.09,19,0,11.5,clear sky
81,Lompoc,US,34.6391,-120.4579,63.93,91,1,4.61,mist
82,Cherskiy,RU,68.75,161.3,-11.92,99,100,4.34,light snow
83,Mounana,GA,-1.4085,13.1586,68.36,98,100,1.95,overcast clouds
84,New Norfolk,AU,-42.7826,147.0587,82.65,27,4,3.0,clear sky
85,Mahebourg,MU,-20.4081,57.7,82.26,68,5,8.57,clear sky
86,Rundu,NA,-17.9333,19.7667,67.32,76,99,4.54,overcast clouds
87,Pavilosta,LV,56.8879,21.1859,35.55,60,100,21.63,overcast clouds
88,Bolitoc,PH,15.7395,119.8769,86.22,69,80,4.85,broken clouds
89,Galesong,ID,-5.3166,119.3661,87.82,68,89,0.38,overcast clouds
90,Puerto Escondido,MX,15.85,-97.0667,77.83,73,1,0.0,clear sky
91,Tallahassee,US,30.4383,-84.2807,49.64,72,1,0.0,clear sky
92,Hermanus,ZA,-34.4187,19.2345,60.91,85,84,8.37,light rain
93,Mar Del Plata,AR,-38.0023,-57.5575,57.87,90,7,11.99,clear sky
94,Cortez,US,37.3489,-108.5859,50.41,64,1,6.91,clear sky
95,Jind,IN,29.3167,76.3167,61.03,38,66,6.02,broken clouds
96,Talcahuano,CL,-36.7167,-73.1167,55.08,76,0,8.05,clear sky
97,Provideniya,RU,64.3833,-173.3,-4.65,65,2,11.18,clear sky
98,Manadhoo,MV,5.7667,73.3833,81.59,77,100,14.88,moderate rain
99,Goderich,CA,43.7501,-81.7165,32.92,74,100,5.75,overcast clouds
100,San Mateo Ixtatan,GT,15.8319,-91.4781,45.95,87,25,5.46,scattered clouds
101,Charters Towers,AU,-20.1,146.2667,85.39,52,100,7.54,light rain
102,Bredasdorp,ZA,-34.5322,20.0403,58.28,82,20,5.48,light rain
103,Lorengau,PG,-2.0226,147.2712,85.21,71,100,9.8,overcast clouds
104,Hithadhoo,MV,-0.6,73.0833,81.73,77,58,11.36,broken clouds
105,Butaritari,KI,3.0707,172.7902,81.07,80,66,9.73,light rain
106,Urumqi,CN,43.801,87.6005,11.35,85,2,2.24,mist
107,Tuatapere,NZ,-46.1333,167.6833,62.82,66,85,8.08,overcast clouds
108,San Policarpo,PH,12.1791,125.5072,84.38,73,100,5.88,overcast clouds
109,Geraldton,AU,-28.7667,114.6,76.12,50,40,17.27,scattered clouds
110,Berck,FR,50.4,1.6,49.98,81,90,12.66,overcast clouds
