City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tyukhtet,RU,2021-11-27 22:28:00,56.5389,89.3011,20.3,91,100,16.78
1,Tarakan,ID,2021-11-27 22:28:00,3.3,117.6333,77.45,88,100,8.19
2,Camacha,PT,2021-11-27 22:28:00,33.0833,-16.3333,59.76,82,40,14.97
3,Severo-Kurilsk,RU,2021-11-27 22:25:33,50.6789,156.125,28.47,65,77,28.45
4,Goderich,CA,2021-11-27 22:28:00,43.7501,-81.7165,28.72,86,100,6.91
5,Vaini,TO,2021-11-27 22:28:01,-21.2,-175.2,84.36,84,75,8.05
6,Ushuaia,AR,2021-11-27 22:28:01,-54.8,-68.3,53.26,35,0,10.36
7,Mataura,NZ,2021-11-27 22:24:14,-46.1927,168.8643,59.38,46,59,1.74
8,Kasama,ZM,2021-11-27 22:28:01,-10.2129,31.1808,61.47,96,77,4.18
9,Cape Town,ZA,2021-11-27 22:27:03,-33.9258,18.4232,63.01,94,75,18.41
10,Martapura,ID,2021-11-27 22:28:02,-3.4167,114.85,75.29,100,75,2.3
11,Port Alfred,ZA,2021-11-27 22:28:02,-33.5906,26.891,64.2,82,37,8.72
12,Georgetown,MY,2021-11-27 22:28:02,5.4112,100.3354,76.95,94,20,2.3
13,Punta Arenas,CL,2021-11-27 22:27:36,-53.15,-70.9167,53.71,54,90,8.05
14,Parry Sound,CA,2021-11-27 22:28:02,45.3501,-80.033,24.85,39,36,3.18
15,Bluff,NZ,2021-11-27 22:23:12,-46.6,168.3333,51.75,64,1,2.39
16,Hasaki,JP,2021-11-27 22:28:03,35.7333,140.8333,37.8,52,0,11.97
17,Constantine,DZ,2021-11-27 22:28:03,36.365,6.6147,49.41,61,75,16.11
18,Bethel,US,2021-11-27 22:28:03,41.3712,-73.414,37.76,38,1,9.22
19,Aleppo,SY,2021-11-27 22:28:04,36.25,37.5,58.08,66,100,6.15
20,Karratha,AU,2021-11-27 22:28:04,-20.7377,116.8463,84.16,27,5,15.99
21,Pevek,RU,2021-11-27 22:28:04,69.7008,170.3133,-13.77,84,6,4.34
22,Chute-Aux-Outardes,CA,2021-11-27 22:28:04,49.1168,-68.399,28.71,93,90,12.66
23,Mar Del Plata,AR,2021-11-27 22:25:31,-38.0023,-57.5575,62.53,91,98,18.57
24,Sumbe,AO,2021-11-27 22:28:05,-11.2061,13.8437,75.96,82,100,3.15
25,Ventspils,LV,2021-11-27 22:28:05,57.3894,21.5606,31.93,100,90,9.22
26,Smirnykh,RU,2021-11-27 22:28:05,49.75,142.8333,22.39,84,6,4.32
27,Presidente Medici,BR,2021-11-27 22:28:06,-11.1753,-61.9014,79.52,86,74,4.16
28,Tual,ID,2021-11-27 22:28:06,-5.6667,132.75,82.72,72,99,3.85
29,Salalah,OM,2021-11-27 22:28:06,17.0151,54.0924,73.49,49,0,3.44
30,Rikitea,PF,2021-11-27 22:23:07,-23.1203,-134.9692,75.79,79,11,15.21
31,Ishigaki,JP,2021-11-27 22:28:07,24.3448,124.1572,68.13,94,75,17.27
32,Puerto Ayora,EC,2021-11-27 22:28:07,-0.7393,-90.3518,75.16,75,77,10.58
33,Upernavik,GL,2021-11-27 22:25:33,72.7868,-56.1549,7.52,98,86,6.62
34,Ukrayinka,UA,2021-11-27 22:28:07,47.9167,35.35,46.69,97,48,11.03
35,Clyde,US,2021-11-27 22:28:08,41.3042,-82.9752,37.81,59,100,8.28
36,Tuktoyaktuk,CA,2021-11-27 22:28:08,69.4541,-133.0374,-9.4,77,90,24.16
37,Busselton,AU,2021-11-27 22:28:08,-33.65,115.3333,66.09,61,1,5.61
38,Shiyan,CN,2021-11-27 22:28:08,32.6475,110.7781,44.53,65,92,1.7
39,Torbay,CA,2021-11-27 22:28:09,47.6666,-52.7314,50.77,93,90,23.02
